"","title","title_type","genre","runtime","mpaa_rating","studio","thtr_rel_year","thtr_rel_month","thtr_rel_day","dvd_rel_year","dvd_rel_month","dvd_rel_day","imdb_rating","imdb_num_votes","critics_rating","critics_score","audience_rating","audience_score","best_pic_nom","best_pic_win","best_actor_win","best_actress_win","best_dir_win","top200_box","director","actor1","actor2","actor3","actor4","actor5","imdb_url","rt_url","genre_string"
"13","The Royal Tenenbaums","Feature Film","Comedy",110,"R","Buena Vista Distribution Compa",2002,1,4,2002,7,9,7.6,201779,"Certified Fresh",80,"Upright",89,"no","no","yes","yes","no","no","Wes Anderson","Gene Hackman","Anjelica Huston","Gwyneth Paltrow","Ben Stiller","Luke Wilson","http://www.imdb.com/title/tt0265666/","//www.rottentomatoes.com/m/the_royal_tenenbaums/","Comedy"
"14","School for Scoundrels","Feature Film","Comedy",100,"PG-13","MGM",2006,9,23,2007,2,13,5.9,25808,"Rotten",25,"Spilled",53,"no","no","no","no","no","no","Todd Phillips","Billy Bob Thornton","Jon Heder","Jacinda Barrett","Michael Clarke Duncan","Horatio Sanz","http://www.imdb.com/title/tt0462519/","//www.rottentomatoes.com/m/school_for_scoundrels/","Comedy"
"15","Rhinestone","Feature Film","Comedy",111,"PG","20th Century Fox",1984,6,20,2005,3,22,3.6,5544,"Rotten",15,"Spilled",36,"no","no","no","no","no","no","Bob Clark (III)","Dolly Parton","Sylvester Stallone","Richard Farnsworth","Ron Leibman","Tim Thomerson","http://www.imdb.com/title/tt0088001/","//www.rottentomatoes.com/m/rhinestone/","Comedy"
"16","Burn After Reading","Feature Film","Drama",96,"R","Focus Features",2008,8,27,2008,12,21,7,240033,"Certified Fresh",78,"Upright",64,"no","no","no","yes","yes","no","Joel Coen","George Clooney","Frances McDormand","John Malkovich","Brad Pitt","Tilda Swinton","http://www.imdb.com/title/tt0887883/","//www.rottentomatoes.com/m/burn_after_reading/","Drama"
"17","The Doors","Feature Film","Drama",140,"R","Sony Pictures Home Entertainment",1991,3,1,1997,8,19,7.2,66489,"Rotten",54,"Upright",80,"no","no","no","no","yes","no","Oliver Stone","Val Kilmer","Meg Ryan","Kevin Dillon","Kyle MacLachlan","Frank Whaley","http://www.imdb.com/title/tt0101761/","//www.rottentomatoes.com/m/doors/","Drama"
"18","The Wood","Feature Film","Drama",106,"R","Paramount Pictures",1999,7,16,2000,1,18,6.9,6336,"Fresh",61,"Upright",92,"no","no","no","no","no","no","Rick Famuyiwa","Omar Epps","Sean Nelson","Taye Diggs","Trent Cameron","Richard T. Jones","http://www.imdb.com/title/tt0161100/","//www.rottentomatoes.com/m/wood/","Drama"
"19","Jason X","Feature Film","Horror",91,"R","New Line Cinema",2002,4,26,2004,6,1,4.4,37769,"Rotten",19,"Spilled",24,"no","no","no","no","no","no","James Isaac","Kane Hodder","Lexa Doig","Lisa Ryder","Chuck Campbell","Jonathan Potts","http://www.imdb.com/title/tt0211443/","//www.rottentomatoes.com/m/jason_x/","Horror"
"20","Dragon Wars","Feature Film","Drama",90,"PG-13","Sony Pictures Home Entertainment",2007,9,13,2008,1,8,3.6,21268,"Rotten",29,"Spilled",19,"no","no","no","no","no","no","Hyung-rae Shim","Jason Behr","Amanda Brooks","Robert Forster","Aimee Garcia","Craig Robinson","http://www.imdb.com/title/tt0372873/","//www.rottentomatoes.com/m/dragon_wars/","Drama"
"21","Fallen","Feature Film","Drama",124,"R","Warner Home Video",1997,6,1,1998,6,16,7,56201,"Rotten",40,"Upright",73,"no","no","yes","no","no","no","Gregory Hoblit","Denzel Washington","John Goodman","Donald Sutherland","Embeth Davidtz","James Gandolfini","http://www.imdb.com/title/tt0119099/","//www.rottentomatoes.com/m/1080990-fallen/","Drama"
"22","The Gleaners and I","Documentary","Documentary",82,"Unrated","Zeitgeist Films",2001,4,6,2002,7,23,7.6,3459,"Fresh",92,"Upright",86,"no","no","no","no","no","no","Agnes Varda","Bodan Litnanski","Francois Wertheimer","Agnes Varda","Margaret Dumont","Virginia Grey","http://www.imdb.com/title/tt0247380/","//www.rottentomatoes.com/m/the_gleaners_and_i/","Documentar"
"23","Tamara Drewe","Feature Film","Drama",107,"R","Sony Pictures Classics",2010,10,8,2011,2,8,6.2,16717,"Fresh",66,"Spilled",42,"no","no","no","no","no","no","Stephen Frears","Gemma Arterton","Roger Allam","Bill Camp","Dominic Cooper","Luke Evans","http://www.imdb.com/title/tt1486190/","//www.rottentomatoes.com/m/tamara_drewe_2010/","Drama"
"24","Not Without My Daughter","Feature Film","Drama",116,"PG-13","MGM Home Entertainment",1991,1,11,2001,10,2,6.2,9357,"Rotten",47,"Upright",71,"no","no","no","yes","no","no","Brian Gilbert","Sally Field","Alfred Molina","Sheila Rosenthal","Roshan Seth","Sarah Badel","http://www.imdb.com/title/tt0102555/","//www.rottentomatoes.com/m/not_without_my_daughter/","Drama"
"25","The Yes Men Fix the World","Documentary","Documentary",87,"Unrated","Cinetic Media",2009,1,18,2010,4,1,7.6,4541,"Certified Fresh",79,"Upright",77,"no","no","no","no","no","no","Andy Bichlbaum","Andy Bichlbaum","Reggie Waits","Mike Bonanno",NA,NA,"http://www.imdb.com/title/tt1352852/","//www.rottentomatoes.com/m/yes_men_fix_the_world/","Documentar"
"26","Oh, God! You Devil","Feature Film","Comedy",97,"PG","WARNER BROTHERS PICTURES",1984,11,9,2005,2,15,5.3,1816,"Rotten",40,"Spilled",41,"no","no","no","no","no","no","Paul Bogart","George Burns","Ted Wass","Roxanne Hart","Eugene Roche","John Doolittle","http://www.imdb.com/title/tt0087835/","//www.rottentomatoes.com/m/oh_god_you_devil/","Comedy"
"27","Meet Joe Black","Feature Film","Drama",178,"PG-13","Universal Pictures",1998,11,13,1999,4,6,7.1,163490,"Rotten",51,"Upright",81,"no","no","yes","no","no","no","Martin Brest","Brad Pitt","Anthony Hopkins","Claire Forlani","Jake Weber","Marcia Gay Harden","http://www.imdb.com/title/tt0119643/","//www.rottentomatoes.com/m/meet_joe_black/","Drama"
"28","The Bay","Feature Film","Horror",84,"R","Roadside Attraction",2012,11,2,2013,3,5,5.6,19285,"Certified Fresh",77,"Spilled",43,"no","no","no","no","yes","no","Barry Levinson","Kristen Connolly","Will Rogers (IV)","Kether Donohue","Frank Deal","Stephen Kunken","http://www.imdb.com/title/tt1713476/","//www.rottentomatoes.com/m/the_bay_2012/","Horror"
"29","Scandal","Feature Film","Art House & International",115,"R","HBO Video",1989,5,28,2000,9,5,6.4,3688,"Fresh",91,"Upright",61,"no","no","no","no","no","no","Michael Caton-Jones","John Hurt","Joanne Whalley","Bridget Fonda","Ian McKellen","Leslie Phillips","http://www.imdb.com/title/tt0098260/","//www.rottentomatoes.com/m/scandal_1989/","Art House "
"30","Imagine: John Lennon","Documentary","Musical & Performing Arts",100,"R","WARNER BROTHERS PICTURES",1988,10,7,2005,12,6,7.9,3488,"Fresh",92,"Upright",91,"no","no","no","no","no","no","Andrew Solt","John Lennon","Dick Cavett","Desire de Freitas","Mary Elizabeth Smith","Jane Forth","http://www.imdb.com/title/tt0095360/","//www.rottentomatoes.com/m/imagine/","Musical & "
"31","Locke","Feature Film","Mystery & Suspense",85,"R","A24 Films",2014,4,25,2014,8,12,7.1,82851,"Certified Fresh",91,"Upright",71,"no","no","no","no","no","no","Steven Knight","Tom Hardy","Tom Holland (X)","Bill Milner","Andrew Scott","Ruth Wilson","http://www.imdb.com/title/tt2692904/","//www.rottentomatoes.com/m/locke/","Mystery & "
"32","The Spongebob Squarepants Movie","Feature Film","Animation",87,"PG","Paramount Pictures",2004,11,19,2005,3,1,7,56128,"Fresh",68,"Upright",77,"no","no","no","no","no","no","Sherm Cohen","Bill Fagerbakke","Mr. Lawrence","Carolyn Lawrence","Rodger Bumpass","Spongebob Squarepants","http://www.imdb.com/title/tt0345950/","//www.rottentomatoes.com/m/spongebob_squarepants_movie/","Animation"
"33","The Muppet Christmas Carol","Feature Film","Science Fiction & Fantasy",85,"G","Walt Disney Home Entertainment",1992,1,1,2002,10,8,7.7,33101,"Fresh",69,"Upright",85,"no","no","no","no","no","no","Brian Henson","Michael Caine","Steve Whitmire","Frank Oz","Dave Goelz","Jerry Nelson","http://www.imdb.com/title/tt0104940/","//www.rottentomatoes.com/m/muppet_christmas_carol/","Science Fi"
"34","Die Hard 2","Feature Film","Mystery & Suspense",124,"R","20th Century Fox",1990,7,2,1999,3,9,7.1,259822,"Fresh",69,"Upright",70,"no","no","no","no","no","no","Renny Harlin","Bruce Willis","Bonnie Bedelia","William Atherton","Reginald VelJohnson","Franco Nero","http://www.imdb.com/title/tt0099423/","//www.rottentomatoes.com/m/die_hard_2_1990/","Mystery & "
"35","The Reckoning","Feature Film","Documentary",112,"R","Paramount Classics",2004,3,5,2004,8,3,6.6,4908,"Rotten",40,"Spilled",57,"no","no","no","no","no","no","Pamela Yates","Paul Bettany","Willem Dafoe","Simon McBurney","Ewen Bremner","Gina McKee","http://www.imdb.com/title/tt0258816/","//www.rottentomatoes.com/m/1130191-reckoning/","Documentar"
"36","Alice in Wonderland","Feature Film","Action & Adventure",108,"PG","Walt Disney Pictures",2010,3,5,2010,6,1,6.5,290356,"Rotten",52,"Spilled",55,"no","no","no","no","no","no","Tim Burton","Johnny Depp","Mia Wasikowska","Anne Hathaway","Helena Bonham Carter","Matt Lucas","http://www.imdb.com/title/tt1014759/","//www.rottentomatoes.com/m/1221547-alice_in_wonderland/","Action & A"
"37","I'm Not There","Feature Film","Drama",135,"R","The Weinstein Co.",2007,11,21,2008,5,6,7,47297,"Certified Fresh",76,"Upright",70,"no","no","no","yes","no","no","Todd Haynes","Cate Blanchett","Christian Bale","Richard Gere","Heath Ledger","Marcus Carl Franklin","http://www.imdb.com/title/tt0368794/","//www.rottentomatoes.com/m/im_not_there_suppositions_on_a_film_concerning_dylan/","Drama"
"38","Three Wishes","Feature Film","Drama",115,"PG","HBO Video",1995,11,3,2001,8,7,6.1,2145,"Rotten",13,"Spilled",51,"no","no","no","no","no","no","Martha Coolidge","Patrick Swayze","Mary Elizabeth Mastrantonio","Joe Mazzello","Seth Mumy","David Marshall Grant","http://www.imdb.com/title/tt0114663/","//www.rottentomatoes.com/m/three_wishes/","Drama"
"39","Aliens","Feature Film","Action & Adventure",137,"R","20th Century Fox Film Corporat",1986,7,18,1999,6,1,8.4,466400,"Certified Fresh",98,"Upright",94,"no","no","no","no","yes","no","James Cameron","Sigourney Weaver","Carrie Henn","Michael Biehn","Paul Reiser","Bill Paxton","http://www.imdb.com/title/tt0090605/","//www.rottentomatoes.com/m/1000617-aliens/","Action & A"
"40","Driving Miss Daisy","Feature Film","Drama",99,"PG","Fathom Events",1989,6,1,1997,4,29,7.4,69338,"Certified Fresh",81,"Upright",81,"yes","yes","no","yes","no","no","Bruce Beresford","Jessica Tandy","Morgan Freeman","Dan Aykroyd","Patti LuPone","Esther Rolle","http://www.imdb.com/title/tt0097239/","//www.rottentomatoes.com/m/driving_miss_daisy/","Drama"
"41","Max","Feature Film","Drama",106,"R","Lions Gate Films",2002,12,27,2003,5,20,6.6,6228,"Fresh",69,"Upright",64,"no","no","no","no","no","no","Menno Meyjes","John Cusack","Noah Taylor","Leelee Sobieski","Molly Parker","Ulrich Thomsen","http://www.imdb.com/title/tt0290210/","//www.rottentomatoes.com/m/max/","Drama"
"42","Serpico","Feature Film","Drama",130,"R","Paramount Pictures",1973,12,5,2002,12,3,7.8,75468,"Fresh",90,"Upright",88,"no","no","yes","no","no","no","Sidney Lumet","Al Pacino","John Randolph","Jack Kehoe","Tony Roberts","Biff McGuire","http://www.imdb.com/title/tt0070666/","//www.rottentomatoes.com/m/serpico/","Drama"
"43","Basic","Feature Film","Drama",98,"R","Sony Pictures Entertainment",2003,3,28,2003,7,8,6.5,48519,"Rotten",21,"Upright",64,"no","no","no","no","no","no","John McTiernan","John Travolta","Connie Nielsen","Samuel L. Jackson","Tim Daly","Taye Diggs","http://www.imdb.com/title/tt0264395/","//www.rottentomatoes.com/m/basic/","Drama"
"44","The Guru","Feature Film","Comedy",94,"R","Universal Pictures",2002,1,31,2003,6,3,5.4,13523,"Rotten",57,"Spilled",40,"no","no","no","no","no","no","Daisy von Scherler Mayer","Jimi Mistry","Heather Graham","Marisa Tomei","Michael McKean","Dash Mihok","http://www.imdb.com/title/tt0280720/","//www.rottentomatoes.com/m/1119875-guru/","Comedy"
"45","The Color Purple","Feature Film","Drama",154,"PG-13","Warner Home Video",1985,12,16,2003,2,18,7.8,58668,"Fresh",88,"Upright",94,"yes","no","no","no","yes","no","Steven Spielberg","Whoopi Goldberg","Danny Glover","Margaret Avery","Oprah Winfrey","Willard E. Pugh","http://www.imdb.com/title/tt0088939/","//www.rottentomatoes.com/m/color_purple/","Drama"
"46","The Dream Team","Feature Film","Comedy",113,"PG-13","MCA Universal Home Video",1989,4,7,2003,7,1,6.5,9654,"Rotten",54,"Upright",62,"no","no","no","no","no","no","Howard Zieff","Michael Keaton","Christopher Lloyd","Peter Boyle","Stephen Furst","Dennis Boutsikaris","http://www.imdb.com/title/tt0097235/","//www.rottentomatoes.com/m/1006287-dream_team/","Comedy"
"47","The Man Without a Face","Feature Film","Drama",115,"PG-13","Warner Home Video",1993,8,25,2004,2,24,6.7,22079,"Fresh",67,"Upright",64,"no","no","no","no","yes","no","Mel Gibson","Mel Gibson","Nick Stahl","Margaret Whitton","Fay Masterson","Gaby Hoffmann","http://www.imdb.com/title/tt0107501/","//www.rottentomatoes.com/m/man_without_a_face/","Drama"
"48","The White Countess","Feature Film","Drama",135,"PG-13","Sony Pictures Classics",2005,12,21,2006,5,16,6.7,5258,"Rotten",50,"Spilled",49,"no","no","no","no","no","no","James Ivory","Ralph Fiennes","Natasha Richardson","Vanessa Redgrave","Lynn Redgrave","Madeleine Potter","http://www.imdb.com/title/tt0384686/","//www.rottentomatoes.com/m/white_countess/","Drama"
"49","Viva Knievel!","Feature Film","Drama",106,"PG","WARNER BROTHERS PICTURES",1977,7,15,2005,5,31,2.7,761,"Rotten",17,"Spilled",17,"no","no","no","no","no","no","Gordon Douglas","Evel Knievel","Lauren Hutton","Gene Kelly","Red Buttons","Leslie Nielsen","http://www.imdb.com/title/tt0076890/","//www.rottentomatoes.com/m/viva_knievel/","Drama"
"50","Rising Sun","Feature Film","Drama",125,"R","Twentieth Century Fox Home Entertainment",1993,7,30,2000,6,20,6.2,33839,"Rotten",35,"Spilled",40,"no","no","no","no","no","no","Philip Kaufman","Sean Connery","Wesley Snipes","Harvey Keitel","Kevin Anderson","Mako","http://www.imdb.com/title/tt0107969/","//www.rottentomatoes.com/m/rising_sun/","Drama"
"51","Mojados: Through the Night","Documentary","Documentary",65,"Unrated","Diva",2004,3,12,2005,8,2,7.3,183,"Fresh",73,"Upright",88,"no","no","no","no","no","no","Tommy Davis","Tommy Davis","Guapo","Oso","Tigre","Viejo","http://www.imdb.com/title/tt0400657/","//www.rottentomatoes.com/m/mojados_through_the_night_2004/","Documentar"
"52","Seven Pounds","Feature Film","Drama",123,"PG-13","Sony Pictures",2008,12,19,2009,3,31,7.7,225130,"Rotten",27,"Upright",75,"no","no","no","no","no","no","Gabriele Muccino","Rosario Dawson","Woody Harrelson","Michael Ealy","Barry Pepper","Elpidia Carrillo","http://www.imdb.com/title/tt0814314/","//www.rottentomatoes.com/m/seven_pounds/","Drama"
"53","The Mothman Prophecies","Feature Film","Mystery & Suspense",119,"PG-13","Screen Gems",2002,1,25,2002,6,4,6.5,62241,"Rotten",52,"Spilled",56,"no","no","no","no","no","no","Mark Pellington","Richard Gere","Laura Linney","Debra Messing","Will Patton","Lucinda Jenney","http://www.imdb.com/title/tt0265349/","//www.rottentomatoes.com/m/mothman_prophecies/","Mystery & "
"54","Breaking and Entering","Feature Film","Drama",120,"R","The Weinstein Company",2007,2,16,2007,5,8,6.6,19714,"Rotten",34,"Spilled",52,"no","no","no","no","yes","no","Anthony Minghella","Jude Law","Juliette Binoche","Robin Wright","Martin Freeman","Ray Winstone","http://www.imdb.com/title/tt0443456/","//www.rottentomatoes.com/m/breaking_and_entering/","Drama"
"55","The English Patient","Feature Film","Drama",162,"R","Miramax Films",1996,11,15,1998,3,24,7.4,137126,"Certified Fresh",84,"Upright",83,"yes","yes","yes","no","yes","no","Anthony Minghella","Ralph Fiennes","Juliette Binoche","Willem Dafoe","Kristin Scott Thomas","Colin Firth","http://www.imdb.com/title/tt0116209/","//www.rottentomatoes.com/m/english_patient/","Drama"
"56","Heaven & Earth","Feature Film","Drama",140,"R","Warner Home Video",1994,6,1,2004,10,19,6.8,10468,"Rotten",44,"Upright",72,"no","no","no","no","yes","no","Oliver Stone","Tommy Lee Jones","Hiep Thi Le","Joan Chen","Dr. Haing S. Ngor","Debbie Reynolds","http://www.imdb.com/title/tt0107096/","//www.rottentomatoes.com/m/1048333-heaven_and_earth/","Drama"
"57","The Last Kiss","Feature Film","Drama",115,"R","Paramount",2006,9,15,2006,12,26,6.5,37770,"Rotten",46,"Spilled",59,"no","no","no","no","no","no","Tony Goldwyn","Zach Braff","Jacinda Barrett","Casey Affleck","Rachel Bilson","Michael Weston","http://www.imdb.com/title/tt0434139/","//www.rottentomatoes.com/m/last_kiss/","Drama"
"58","Three of Hearts","Feature Film","Drama",102,"R","Sony Pictures Home Entertainment",1993,4,30,2004,5,4,5.5,1628,"Rotten",56,"Spilled",38,"no","no","no","no","no","no","Yurek Bogayevicz","William Baldwin","Kelly Lynch","Sherilyn Fenn","Joe Pantoliano","Gail Strickland","http://www.imdb.com/title/tt0108334/","//www.rottentomatoes.com/m/three_of_hearts/","Drama"
"59","The Tortured","Feature Film","Mystery & Suspense",79,"R","IFC Films",2012,6,15,2012,10,16,5.5,5587,"Rotten",6,"Spilled",35,"no","no","no","no","no","no","Robert Lieberman","Erika Christensen","Jesse Metcalfe","Bill Moseley","Fulvio Cecere","Bill Lippincott","http://www.imdb.com/title/tt1017464/","//www.rottentomatoes.com/m/the_tortured/","Mystery & "
"60","The Package","Feature Film","Mystery & Suspense",108,"R","Orion Home Video",1989,8,25,2001,5,15,6.4,6247,"Fresh",64,"Spilled",43,"no","no","yes","no","no","no","Andrew Davis","Gene Hackman","Joanna Cassidy","Tommy Lee Jones","John Heard","Kevin Crowley","http://www.imdb.com/title/tt0098051/","//www.rottentomatoes.com/m/package/","Mystery & "
"61","Happy, Texas","Feature Film","Comedy",98,"PG-13","Miramax Films",1999,10,1,2001,10,2,6.3,8646,"Certified Fresh",81,"Spilled",54,"no","no","no","no","no","no","Mark Illsley","Jeremy Northam","Steve Zahn","Ally Walker","Illeana Douglas","William H. Macy","http://www.imdb.com/title/tt0162360/","//www.rottentomatoes.com/m/happy_texas/","Comedy"
"62","Then She Found Me","Feature Film","Drama",100,"R","ThinkFilm",2007,9,7,2008,9,2,6,8320,"Rotten",50,"Spilled",44,"no","no","yes","yes","no","no","Helen Hunt","Helen Hunt","Bette Midler","Colin Firth","Matthew Broderick","Ben Shenkman","http://www.imdb.com/title/tt0455805/","//www.rottentomatoes.com/m/then_she_found_me/","Drama"
"63","Promises","Documentary","Documentary",106,"Unrated","Cowboy Pictures",2002,3,22,2004,11,16,8.5,2362,"Certified Fresh",96,"Upright",96,"no","no","no","no","no","no","B.Z. Goldberg","Yarko","Daniel","Mahmoud","Shlomo","Sanabel Cherqaoui","http://www.imdb.com/title/tt0282864/","//www.rottentomatoes.com/m/promises/","Documentar"
"64","Most Dangerous Man in America: Daniel Ellsberg and the Pentagon Papers","Documentary","Documentary",92,"Unrated","First Run Features",2009,6,1,2010,7,20,7.8,1942,"Certified Fresh",96,"Upright",89,"no","no","no","no","no","no","Judith Ehrlich","Daniel Ellsberg","Patricia Marx Ellsberg","Richard Falk","Thomas Schelling","Thomas Oliphant","http://www.imdb.com/title/tt1319726/","//www.rottentomatoes.com/m/daniel_ellsberg_doc/","Documentar"
"65","The Recruit","Feature Film","Mystery & Suspense",115,"PG-13","Touchstone Pictures",2003,1,31,2003,5,27,6.6,110238,"Rotten",43,"Spilled",58,"no","no","yes","no","no","no","Roger Donaldson","Al Pacino","Colin Farrell","Bridget Moynahan","Gabriel Macht","Mike Realba","http://www.imdb.com/title/tt0292506/","//www.rottentomatoes.com/m/recruit/","Mystery & "
"66","Alvin and the Chipmunks: Chipwrecked","Feature Film","Animation",87,"G","20th Century Fox",2011,12,16,2012,3,27,4.4,21501,"Rotten",12,"Spilled",52,"no","no","no","no","no","no","Mike Mitchell (VI)","Jason Lee","Justin Long","Jesse McCartney","Anna Faris","Christina Applegate","http://www.imdb.com/title/tt1615918/","//www.rottentomatoes.com/m/alvin_and_the_chipmunks_chipwrecked_2011/","Animation"
"67","The Thin Blue Line","Documentary","Documentary",103,"Unrated","HBO Video",1988,8,25,2005,7,26,8.1,14359,"Fresh",100,"Upright",90,"no","no","no","no","no","no","Errol Morris","Derek Horton","Ron Thornhill","Marianne Leone","Amanda Caprio","Michael Nicoll","http://www.imdb.com/title/tt0096257/","//www.rottentomatoes.com/m/thin_blue_line/","Documentar"
"68","The Cotton Club","Feature Film","Musical & Performing Arts",127,"R","Nelson Entertainment",1984,12,14,2000,1,19,6.5,12450,"Fresh",75,"Spilled",55,"no","no","no","no","yes","no","Francis Ford Coppola","Richard Gere","Gregory Hines","Diane Lane","Lonette McKee","James Remar","http://www.imdb.com/title/tt0087089/","//www.rottentomatoes.com/m/cotton_club/","Musical & "
"69","Lord of the Flies","Feature Film","Drama",90,"R","Nelson Entertainment",1989,1,1,2001,11,20,6.4,21704,"Fresh",63,"Spilled",52,"no","no","no","no","no","no","Harry Hook","Balthazar Getty","Chris Furrh","Danuel Pipoly","James Badge Dale","Gary Rule","http://www.imdb.com/title/tt0100054/","//www.rottentomatoes.com/m/lord_of_the_flies/","Drama"
"70","Same Time, Next Year","Feature Film","Drama",119,"PG","Universal Pictures",1978,11,22,2004,4,6,7.2,4375,"Rotten",40,"Upright",85,"no","no","no","yes","no","no","Robert Mulligan","Ellen Burstyn","Alan Alda","Ivan Bonar","Bernie Kuby","Cosmo Sardo","http://www.imdb.com/title/tt0078199/","//www.rottentomatoes.com/m/same_time_next_year/","Drama"
"71","Proof of Life","Feature Film","Drama",135,"R","Warner Bros. Pictures",2000,12,8,2001,6,19,6.2,48324,"Rotten",40,"Spilled",43,"no","no","yes","no","no","no","Taylor Hackford","Meg Ryan","Russell Crowe","David Morse","David Caruso","Pamela Reed","http://www.imdb.com/title/tt0228750/","//www.rottentomatoes.com/m/proof_of_life/","Drama"
"72","Waking Up in Reno","Feature Film","Comedy",91,"R","Miramax Films",2002,10,25,2003,4,8,5.5,4768,"Rotten",13,"Spilled",30,"no","no","no","yes","no","no","Jordan Brady","Charlize Theron","Patrick Swayze","Natasha Richardson","Billy Bob Thornton","Chelcie Ross","http://www.imdb.com/title/tt0219400/","//www.rottentomatoes.com/m/waking_up_in_reno/","Comedy"
