Day,SMI,SMI missing values
325,1910.8,1910.8
326,1879.2,1879.2
327,1880.2,1880.2
328,1878.3,1878.3
329,1885.2,1885.2
330,1867.6,1867.6
331,1788,NA
332,1820.5,1820.5
333,1858.2,1858.2
334,1870.3,1870.3
335,1878.4,1878.4
336,1881.5,1881.5
337,1893.2,1893.2
338,1889.3,1889.3
339,1877.3,1877.3
340,1884,NA
341,1904.7,1904.7
342,1922.7,1922.7
343,1908.5,1908.5
344,1911.4,1911.4
345,1921.1,1921.1
346,1930.8,1930.8
347,1927.8,1927.8
348,1908.3,1908.3
349,1905.9,1905.9
350,1911.1,1911.1
351,1921.6,1921.6
352,1933.6,1933.6
353,1942,NA
354,1951.5,1951.5
355,1955.7,1955.7
356,1957.4,1957.4
357,1962.3,1962.3
358,1946.1,1946.1
359,1950.2,1950.2
360,1929.7,1929.7
361,1913.4,1913.4
362,1889.5,1889.5
363,1882.8,1882.8
364,1895.4,1895.4
365,1897.9,1897.9
366,1891.5,1891.5
367,1880.1,1880.1
368,1887,NA
369,1891.4,1891.4
370,1914.6,1914.6
371,1931.2,1931.2
372,1929.2,1929.2
373,1924.3,1924.3
374,1927,NA
375,1935,NA
376,1955.4,1955.4
377,1962.2,1962.2
378,1980.7,1980.7
379,1987.7,1987.7
380,1993.7,1993.7
381,2015.7,2015.7
382,2005,NA
383,2023.9,2023.9
384,2028.5,2028.5
385,2044.9,2044.9
386,2045.8,2045.8
387,2057.3,2057.3
388,2061.7,2061.7
389,2061.7,2061.7
390,2061.7,2061.7
391,2092.3,2092.3
392,2090.1,2090.1
393,2105.4,2105.4
394,2105.4,2105.4
395,2105.4,2105.4
396,2117.7,2117.7
397,2128.2,2128.2
398,2124.7,2124.7
399,2079.9,2079.9
400,2074.9,2074.9
401,2046.4,2046.4
402,2079.8,2079.8
403,2076.7,2076.7
404,2104.5,2104.5
405,2101.3,2101.3
406,2084,NA
407,2063.9,2063.9
408,2062.7,2062.7
409,2089.9,2089.9
410,2102.9,2102.9
411,2086,NA
412,2085.9,2085.9
413,2064.1,2064.1
414,2072.7,2072.7
415,2091,NA
416,2120.2,2120.2
417,2120.4,2120.4
418,2117.6,2117.6
419,2123.7,2123.7
420,2132.2,2132.2
421,2137,NA
422,2134.8,2134.8
423,2121.4,2121.4
424,2127.5,2127.5
425,2135.5,2135.5
426,2144.8,2144.8
427,2131,NA
428,2112.9,2112.9
429,2131.3,2131.3
430,2117.8,2117.8
431,2096.1,2096.1
432,2051.5,2051.5
433,2065.7,2065.7
434,2061,NA
435,2100.6,2100.6
436,2120.5,2120.5
437,2130.9,2130.9
438,2142.4,2142.4
439,2139.5,2139.5
440,2134.6,2134.6
441,2132.2,2132.2
442,2150.1,2150.1
443,2157,NA
444,2165,NA
445,2127.2,2127.2
446,2157.2,2157.2
447,2150.8,2150.8
448,2139.1,2139.1
449,2154.7,2154.7
450,2182.4,2182.4
451,2161.3,2161.3
452,2166.3,2166.3
453,2146.8,2146.8
454,2135.7,2135.7
455,2160.9,2160.9
456,2175.7,2175.7
457,2188.9,2188.9
458,2190.3,2190.3
459,2188.4,2188.4
460,2190.3,2190.3
461,2184,NA
462,2196,NA
463,2184.9,2184.9
464,2188.3,2188.3
465,2188.3,2188.3
466,2188.3,2188.3
467,2181.7,2181.7
468,2165.7,2165.7
469,2160.5,2160.5
470,2162.9,2162.9
471,2166.3,2166.3
472,2170.8,2170.8
473,2178.1,2178.1
474,2177.3,2177.3
475,2162.3,2162.3
476,2140.4,2140.4
477,2124.7,2124.7
478,2138.2,2138.2
479,2123.2,2123.2
480,2129.7,2129.7
481,2152.8,2152.8
482,2160,NA
483,2165.8,2165.8
484,2165.4,2165.4
485,2162.6,2162.6
486,2179.1,2179.1
487,2191.1,2191.1
488,2191.5,2191.5
489,2183.3,2183.3
490,2186.3,2186.3
491,2205.2,2205.2
492,2227.2,2227.2
493,2227,NA
494,2227,NA
495,2232.9,2232.9
496,2237.4,2237.4
497,2243.5,2243.5
498,2247.5,2247.5
499,2267.1,2267.1
500,2271.6,2271.6
501,2271.6,2271.6
502,2253.8,2253.8
503,2259.8,2259.8
504,2269,NA
505,2284.2,2284.2
506,2309.7,2309.7
507,2294.5,2294.5
508,2312.5,2312.5
509,2309.2,2309.2
510,2308.6,2308.6
511,2293.8,2293.8
512,2274,NA
513,2294.6,2294.6
514,2323.4,2323.4
515,2318,NA
516,2329.5,2329.5
517,2335,NA
518,2323.9,2323.9
519,2335.8,2335.8
520,2347.3,2347.3
521,2369.8,2369.8
522,2371.9,2371.9
523,2376.2,2376.2
524,2375.5,2375.5
525,2368.8,2368.8
526,2364.4,2364.4
527,2390.9,2390.9
528,2372,NA
529,2397.1,2397.1
530,2403,NA
531,2408.7,2408.7
532,2418.1,2418.1
533,2410.5,2410.5
534,2399.9,2399.9
535,2396.4,2396.4
536,2381.8,2381.8
537,2324.5,2324.5
538,2313.7,2313.7
539,2340.2,2340.2
540,2350.5,2350.5
541,2388.7,2388.7
542,2398,NA
543,2408.7,2408.7
544,2401.5,2401.5
545,2400.9,2400.9
546,2400.7,2400.7
547,2429.8,2429.8
548,2431.5,2431.5
549,2424.9,2424.9
550,2423.3,2423.3
551,2420.5,2420.5
552,2384.5,2384.5
553,2411.1,2411.1
554,2449.5,2449.5
555,2461,NA
556,2478.7,2478.7
557,2464.9,2464.9
558,2488,NA
559,2480.6,2480.6
560,2474.5,2474.5
561,2467.3,2467.3
562,2472.4,2472.4
563,2499.7,2499.7
564,2475.2,2475.2
565,2478.6,2478.6
566,2481,NA
567,2488.5,2488.5
568,2470.4,2470.4
569,2463.8,2463.8
570,2438.8,2438.8
571,2392.5,2392.5
572,2403.4,2403.4
573,2397.9,2397.9
574,2382.1,2382.1
575,2363.6,2363.6
576,2365.6,2365.6
577,2388.3,2388.3
578,2361.8,2361.8
579,2374.4,2374.4
580,2385.2,2385.2
581,2418.4,2418.4
582,2431.8,2431.8
583,2414.6,2414.6
584,2425.8,2425.8
585,2445.9,2445.9
586,2482.4,2482.4
587,2478.3,2478.3
588,2485.4,2485.4
589,2473.1,2473.1
590,2481.6,2481.6
591,2490.3,2490.3
592,2521.3,2521.3
593,2534.8,2534.8
594,2528,NA
595,2533.6,2533.6
596,2548.5,2548.5
597,2552.5,2552.5
598,2571,NA
599,2586.4,2586.4
600,2612.6,2612.6
601,2663.6,2663.6
602,2660.7,2660.7
603,2668.4,2668.4
604,2690.1,2690.1
605,2701.4,2701.4
606,2685,NA
607,2700.2,2700.2
608,2715.9,2715.9
609,2720.9,2720.9
610,2723.2,2723.2
611,2727.1,2727.1
612,2742.9,2742.9
613,2749.9,2749.9
614,2706.6,2706.6
615,2654.2,2654.2
616,2675.3,2675.3
617,2727.1,2727.1
618,2742.1,2742.1
619,2720.1,2720.1
620,2721.1,2721.1
621,2717.4,2717.4
622,2712.3,2712.3
623,2711.1,2711.1
624,2727.1,2727.1
625,2733.9,2733.9
626,2696.5,2696.5
627,2702.1,2702.1
628,2717.8,2717.8
629,2726.8,2726.8
630,2741.9,2741.9
631,2738.2,2738.2
632,2738.5,2738.5
633,2774.3,2774.3
634,2787.2,2787.2
635,2819,NA
636,2836.4,2836.4
637,2834.8,2834.8
638,2843.8,2843.8
639,2858.4,2858.4
640,2861.2,2861.2
641,2876.9,2876.9
642,2867.8,2867.8
643,2850.6,2850.6
644,2867.7,2867.7
645,2889.5,2889.5
646,2909,NA
647,2918,NA
648,2942.4,2942.4
649,2967.4,2967.4
650,2967.4,2967.4
651,2972.6,2972.6
652,2930.9,2930.9
653,2934.2,2934.2
654,2957.6,2957.6
655,2957.6,2957.6
656,2996.2,2996.2
657,2999.2,2999.2
658,3009.4,3009.4
659,3021.9,3021.9
660,3042.9,3042.9
661,3015.9,3015.9
662,3026.6,3026.6
663,2999,NA
664,2949.9,2949.9
665,2990.6,2990.6
666,3011.1,3011.1
667,3037.5,3037.5
668,3049.4,3049.4
669,3045.9,3045.9
670,3039.3,3039.3
671,3041.3,3041.3
672,3066.5,3066.5
673,3091.3,3091.3
674,3095.2,3095.2
675,3140.7,3140.7
676,3178.4,3178.4
677,3148.7,3148.7
678,3169.1,3169.1
679,3151.9,3151.9
680,3166.6,3166.6
681,3089.8,3089.8
682,3097.2,3097.2
683,3054.2,3054.2
684,3012.2,3012.2
685,3012.2,3012.2
686,2947.1,2947.1
687,2947.1,2947.1
688,2947.1,2947.1
689,3033.4,3033.4
690,3025.9,3025.9
691,2997.6,2997.6
692,2982.8,2982.8
693,3027.5,3027.5
694,2958.4,2958.4
695,2929.3,2929.3
696,2888.2,2888.2
697,2847.4,2847.4
698,2768.5,2768.5
699,2803.4,2803.4
700,2865.2,2865.2
701,2918.7,2918.7
702,2902.4,2902.4
703,2858.5,2858.5
704,2861.2,2861.2
705,2831.6,2831.6
706,2870.5,2870.5
707,2906.9,2906.9
708,2887.1,2887.1
709,2887.7,2887.7
710,2843.5,2843.5
711,2804.3,2804.3
712,2824.7,2824.7
713,2857,NA
714,2850.8,2850.8
715,2831.8,2831.8
716,2862.4,2862.4
717,2827.4,2827.4
718,2814.5,2814.5
719,2794.8,2794.8
720,2794.8,2794.8
721,2794.8,2794.8
722,2807.3,2807.3
723,2830.2,2830.2
724,2860.9,2860.9
725,2873.4,2873.4
726,2884,NA
727,2887.8,2887.8
728,2877.7,2877.7
729,2843.7,2843.7
730,2872.9,2872.9
731,2869.1,2869.1
732,2837.1,2837.1
733,2818.7,2818.7
734,2781.6,2781.6
735,2787.9,2787.9
736,2763.5,2763.5
737,2776.2,2776.2
738,2791.3,2791.3
739,2768.9,2768.9
740,2736.3,2736.3
741,2765.2,2765.2
742,2755.9,2755.9
743,2705.6,2705.6
744,2682.2,2682.2
745,2641.4,2641.4
746,2569.5,2569.5
747,2629,NA
748,2633,NA
749,2633,NA
750,2678.7,2678.7
751,2709,NA
752,2727.1,2727.1
753,2740.6,2740.6
754,2725.8,2725.8
755,2732.7,2732.7
756,2732.7,2732.7
757,2692,NA
758,2673.1,2673.1
759,2689.2,2689.2
760,2711.9,2711.9
761,2742.9,2742.9
762,2722.9,2722.9
763,2731.5,2731.5
764,2725.9,2725.9
765,2728.4,2728.4
766,2781.4,2781.4
767,2778.1,2778.1
768,2801.1,2801.1
769,2777.2,2777.2
770,2763.8,2763.8
771,2744.2,2744.2
772,2740,NA
773,2701.8,2701.8
774,2666.6,2666.6
775,2627.6,2627.6
776,2545,NA
777,2544.2,2544.2
778,2595.7,2595.7
779,2626.7,2626.7
780,2577.2,2577.2
781,2561.4,2561.4
782,2604.4,2604.4
783,2631.2,2631.2
784,2608.8,2608.8
785,2588.9,2588.9
786,2636.4,2636.4
787,2609.7,2609.7
788,2598.9,2598.9
789,2590.5,2590.5
790,2560.3,2560.3
791,2562.5,2562.5
792,2508,NA
793,2474.5,2474.5
794,2528.3,2528.3
795,2514.9,2514.9
796,2494.7,2494.7
797,2521.6,2521.6
798,2562.3,2562.3
799,2579.4,2579.4
800,2599.2,2599.2
801,2601.2,2601.2
802,2604.4,2604.4
803,2544.9,2544.9
804,2559.3,2559.3
805,2579.5,2579.5
806,2579.5,2579.5
807,2629.7,2629.7
808,2620.7,2620.7
809,2615.3,2615.3
810,2600.8,2600.8
811,2617.5,2617.5
812,2585.5,2585.5
813,2591.4,2591.4
814,2588.8,2588.8
815,2580.5,2580.5
816,2570.6,2570.6
817,2588.7,2588.7
818,2599.3,2599.3
819,2582.7,2582.7
820,2557,NA
821,2532.4,2532.4
822,2530.9,2530.9
823,2541.1,2541.1
824,2551.1,2551.1
825,2581.3,2581.3
826,2635.2,2635.2
827,2635.7,2635.7
828,2645.6,2645.6
829,2628.4,2628.4
830,2672,NA
831,2674.5,2674.5
832,2652.4,2652.4
833,2662.5,2662.5
834,2664.1,2664.1
835,2642.1,2642.1
836,2643,NA
837,2658.8,2658.8
838,2637.7,2637.7
839,2628.6,2628.6
840,2603.3,2603.3
841,2614.7,2614.7
842,2593,NA
843,2594,NA
844,2602.9,2602.9
845,2609.1,2609.1
846,2586.1,2586.1
847,2581,NA
848,2590,NA
849,2558,NA
850,2534.4,2534.4
851,2499.5,2499.5
852,2522.5,2522.5
853,2480.4,2480.4
854,2484.8,2484.8
855,2496.9,2496.9
856,2553.4,2553.4
857,2570.2,2570.2
858,2562.7,2562.7
859,2593.3,2593.3
860,2585.3,2585.3
861,2575.6,2575.6
862,2542.5,2542.5
863,2529.8,2529.8
864,2530.9,2530.9
865,2508.6,2508.6
866,2525.2,2525.2
867,2494.7,2494.7
868,2477.2,2477.2
869,2458.6,2458.6
870,2490.5,2490.5
871,2506.5,2506.5
872,2503.9,2503.9
873,2500,NA
874,2534.8,2534.8
875,2541,NA
876,2557.9,2557.9
877,2543.9,2543.9
878,2590.4,2590.4
879,2602.7,2602.7
880,2597.8,2597.8
881,2590.9,2590.9
882,2591.9,2591.9
883,2609.4,2609.4
884,2600.9,2600.9
885,2606.5,2606.5
886,2607,NA
887,2571.8,2571.8
888,2546.1,2546.1
889,2568.6,2568.6
890,2572.5,2572.5
891,2579.4,2579.4
892,2584.7,2584.7
893,2594.9,2594.9
894,2576,NA
895,2577.5,2577.5
896,2611,NA
897,2589.1,2589.1
898,2584.3,2584.3
899,2589.3,2589.3
900,2576,NA
901,2562.8,2562.8
902,2566,NA
903,2581.4,2581.4
904,2598,NA
905,2604.7,2604.7
906,2600.7,2600.7
907,2614.7,2614.7
908,2636.1,2636.1
909,2649.8,2649.8
910,2651,NA
911,2651,NA
912,2673.5,2673.5
913,2656.2,2656.2
914,2628.8,2628.8
915,2628.8,2628.8
916,2628.8,2628.8
917,2612.3,2612.3
918,2632.4,2632.4
919,2613.1,2613.1
920,2622.3,2622.3
921,2617.3,2617.3
922,2600.4,2600.4
923,2597,NA
924,2600.5,2600.5
925,2600.2,2600.2
926,2591.6,2591.6
927,2582.8,2582.8
928,2593.6,2593.6
929,2595.5,2595.5
930,2574.6,2574.6
931,2525.3,2525.3
932,2534.8,2534.8
933,2525.5,2525.5
934,2554.7,2554.7
935,2552.4,2552.4
936,2540.2,2540.2
937,2536.9,2536.9
938,2560.8,2560.8
939,2563.7,2563.7
940,2589.4,2589.4
941,2621.4,2621.4
942,2628,NA
943,2617.4,2617.4
944,2636.9,2636.9
945,2635.4,2635.4
946,2636,NA
947,2642.4,2642.4
948,2636,NA
949,2621,NA
950,2601,NA
951,2597.2,2597.2
952,2609.6,2609.6
953,2610,NA
954,2632.1,2632.1
955,2623.3,2623.3
956,2607.5,2607.5
957,2600.4,2600.4
958,2619.2,2619.2
959,2617.2,2617.2
960,2586.5,2586.5
961,2553.2,2553.2
962,2543.1,2543.1
963,2515.8,2515.8
964,2461.5,2461.5
965,2467.7,2467.7
966,2450.3,2450.3
967,2463.3,2463.3
968,2475,NA
969,2491.7,2491.7
970,2497.5,2497.5
971,2516,NA
972,2505.5,2505.5
973,2501.9,2501.9
974,2480.7,2480.7
975,2526.6,2526.6
976,2518.1,2518.1
977,2495.6,2495.6
978,2495,NA
979,2533.1,2533.1
980,2508.9,2508.9
981,2511.1,2511.1
982,2536.2,2536.2
983,2536.3,2536.3
984,2556.1,2556.1
985,2559.3,2559.3
986,2561.2,2561.2
987,2563.1,2563.1
988,2562.4,2562.4
989,2560.3,2560.3
990,2560.3,2560.3
991,2560.3,2560.3
992,2547.1,2547.1
993,2516.8,2516.8
994,2544.2,2544.2
995,2560.8,2560.8
996,2554.8,2554.8
997,2561.1,2561.1
998,2574.4,2574.4
999,2567,NA
1000,2597.2,2597.2
1001,2597.2,2597.2
1002,2621.4,2621.4
1003,2618.6,2618.6
1004,2641.7,2641.7
1005,2650.5,2650.5
1006,2658.8,2658.8
1007,2655.6,2655.6
1008,2661.4,2661.4
1009,2701,NA
1010,2728.2,2728.2
1011,2739,NA
1012,2746.6,2746.6
1013,2739.8,2739.8
1014,2727.7,2727.7
1015,2701,NA
1016,2751.2,2751.2
1017,2750.4,2750.4
1018,2778.5,2778.5
1019,2778.5,2778.5
1020,2751.7,2751.7
1021,2762.5,2762.5
1022,2779.4,2779.4
1023,2786.4,2786.4
1024,2807.8,2807.8
1025,2805.3,2805.3
1026,2805.3,2805.3
1027,2809.7,2809.7
1028,2819.6,2819.6
1029,2806.8,2806.8
1030,2795.3,2795.3
1031,2802.3,2802.3
1032,2800.9,2800.9
1033,2798.1,2798.1
1034,2800.2,2800.2
1035,2775.4,2775.4
1036,2803,NA
1037,2805.6,2805.6
1038,2816.8,2816.8
1039,2843.3,2843.3
1040,2837.7,2837.7
1041,2830.3,2830.3
1042,2845.1,2845.1
1043,2836.8,2836.8
1044,2845.6,2845.6
1045,2825.3,2825.3
1046,2827.5,2827.5
1047,2847.5,2847.5
1048,2843.7,2843.7
1049,2833.7,2833.7
1050,2848.4,2848.4
1051,2842.9,2842.9
1052,2847.3,2847.3
1053,2867.9,2867.9
1054,2869.7,2869.7
1055,2863.4,2863.4
1056,2892.3,2892.3
1057,2875.1,2875.1
1058,2856.2,2856.2
1059,2822.2,2822.2
1060,2830.2,2830.2
1061,2836.6,2836.6
1062,2833.2,2833.2
1063,2827.1,2827.1
1064,2824.7,2824.7
1065,2833.1,2833.1
1066,2826.8,2826.8
1067,2826.8,2826.8
1068,2852.3,2852.3
1069,2814.3,2814.3
1070,2807.1,2807.1
1071,2800.6,2800.6
1072,2797.4,2797.4
1073,2781.3,2781.3
1074,2802.6,2802.6
1075,2820.1,2820.1
1076,2807.2,2807.2
1077,2838.4,2838.4
1078,2880.6,2880.6
1079,2880,NA
1080,2889.5,2889.5
1081,2886.7,2886.7
1082,2900.8,2900.8
1083,2896.8,2896.8
1084,2887.1,2887.1
1085,2893.8,2893.8
1086,2883.3,2883.3
1087,2887.3,2887.3
1088,2915.7,2915.7
1089,2908.8,2908.8
1090,2918.3,2918.3
1091,2952.7,2952.7
1092,2971.1,2971.1
1093,2999.6,2999.6
1094,2989.1,2989.1
1095,2989.2,2989.2
1096,2986.3,2986.3
1097,2990.5,2990.5
1098,3016.8,3016.8
1099,3011.6,3011.6
1100,3025.4,3025.4
1101,3008.1,3008.1
1102,3033.5,3033.5
1103,3029,NA
1104,3039.1,3039.1
1105,2994.7,2994.7
1106,3015.3,3015.3
1107,3045.5,3045.5
1108,3009.8,3009.8
1109,3000.6,3000.6
1110,3014.8,3014.8
1111,3039,NA
1112,3049,NA
1113,3036.5,3036.5
1114,3036.6,3036.6
1115,3054,NA
1116,3064,NA
1117,3050,NA
1118,3073,NA
1119,3083.7,3083.7
1120,3109.2,3109.2
1121,3116.3,3116.3
1122,3112.3,3112.3
1123,3135.4,3135.4
1124,3124.5,3124.5
1125,3120.4,3120.4
1126,3041.7,3041.7
1127,3062.3,3062.3
1128,3078.9,3078.9
1129,3080,NA
1130,3026.6,3026.6
1131,3057.9,3057.9
1132,3108.2,3108.2
1133,3128.5,3128.5
1134,3123.4,3123.4
1135,3137.6,3137.6
1136,3123.2,3123.2
1137,3133.8,3133.8
1138,3132.6,3132.6
1139,3150.1,3150.1
1140,3130.4,3130.4
1141,3121.4,3121.4
1142,3133,NA
1143,3124.8,3124.8
1144,3148.4,3148.4
1145,3152.5,3152.5
1146,3182.2,3182.2
1147,3183.9,3183.9
1148,3201,NA
1149,3209.2,3209.2
1150,3220.1,3220.1
1151,3251,NA
1152,3229.5,3229.5
1153,3245.9,3245.9
1154,3251.6,3251.6
1155,3261.2,3261.2
1156,3278.4,3278.4
1157,3278.5,3278.5
1158,3281.5,3281.5
1159,3245.7,3245.7
1160,3246.6,3246.6
1161,3261.6,3261.6
1162,3280.9,3280.9
1163,3273.4,3273.4
1164,3272.2,3272.2
1165,3289.8,3289.8
1166,3251.6,3251.6
1167,3217.7,3217.7
1168,3254.3,3254.3
1169,3255,NA
1170,3277.9,3277.9
1171,3277.9,3277.9
1172,3277.9,3277.9
1173,3317.1,3317.1
1174,3297.7,3297.7
1175,3297.7,3297.7
1176,3297.7,3297.7
1177,3297.7,3297.7
1178,3384.5,3384.5
1179,3395.8,3395.8
1180,3376.1,3376.1
1181,3368.1,3368.1
1182,3361.5,3361.5
1183,3314.8,3314.8
1184,3284.1,3284.1
1185,3292.9,3292.9
1186,3233.9,3233.9
1187,3254.8,3254.8
1188,3219.3,3219.3
1189,3257.8,3257.8
