DateKey,FullDateAlternateKey,DayNumberOfWeek,EnglishDayNameOfWeek,SpanishDayNameOfWeek,FrenchDayNameOfWeek,DayNumberOfMonth,DayNumberOfYear,WeekNumberOfYear,EnglishMonthName,SpanishMonthName,FrenchMonthName,MonthNumberOfYear,CalendarQuarter,CalendarYear,CalendarSemester,FiscalQuarter,FiscalYear,FiscalSemester
20050227,2005-02-27,1,Sunday,Domingo,Dimanche,27,58,10,February,Febrero,Février,2,1,2005,1,3,2005,2
20050228,2005-02-28,2,Monday,Lunes,Lundi,28,59,10,February,Febrero,Février,2,1,2005,1,3,2005,2
20050301,2005-03-01,3,Tuesday,Martes,Mardi,1,60,10,March,Marzo,Mars,3,1,2005,1,3,2005,2
20050302,2005-03-02,4,Wednesday,Miércoles,Mercredi,2,61,10,March,Marzo,Mars,3,1,2005,1,3,2005,2
20050303,2005-03-03,5,Thursday,Jueves,Jeudi,3,62,10,March,Marzo,Mars,3,1,2005,1,3,2005,2
20050304,2005-03-04,6,Friday,Viernes,Vendredi,4,63,10,March,Marzo,Mars,3,1,2005,1,3,2005,2
20050305,2005-03-05,7,Saturday,Sábado,Samedi,5,64,10,March,Marzo,Mars,3,1,2005,1,3,2005,2
20050306,2005-03-06,1,Sunday,Domingo,Dimanche,6,65,11,March,Marzo,Mars,3,1,2005,1,3,2005,2
20050307,2005-03-07,2,Monday,Lunes,Lundi,7,66,11,March,Marzo,Mars,3,1,2005,1,3,2005,2
20050308,2005-03-08,3,Tuesday,Martes,Mardi,8,67,11,March,Marzo,Mars,3,1,2005,1,3,2005,2
20050309,2005-03-09,4,Wednesday,Miércoles,Mercredi,9,68,11,March,Marzo,Mars,3,1,2005,1,3,2005,2
20050310,2005-03-10,5,Thursday,Jueves,Jeudi,10,69,11,March,Marzo,Mars,3,1,2005,1,3,2005,2
20050311,2005-03-11,6,Friday,Viernes,Vendredi,11,70,11,March,Marzo,Mars,3,1,2005,1,3,2005,2
20050312,2005-03-12,7,Saturday,Sábado,Samedi,12,71,11,March,Marzo,Mars,3,1,2005,1,3,2005,2
20050313,2005-03-13,1,Sunday,Domingo,Dimanche,13,72,12,March,Marzo,Mars,3,1,2005,1,3,2005,2
20050314,2005-03-14,2,Monday,Lunes,Lundi,14,73,12,March,Marzo,Mars,3,1,2005,1,3,2005,2
20050315,2005-03-15,3,Tuesday,Martes,Mardi,15,74,12,March,Marzo,Mars,3,1,2005,1,3,2005,2
20050316,2005-03-16,4,Wednesday,Miércoles,Mercredi,16,75,12,March,Marzo,Mars,3,1,2005,1,3,2005,2
20050317,2005-03-17,5,Thursday,Jueves,Jeudi,17,76,12,March,Marzo,Mars,3,1,2005,1,3,2005,2
20050318,2005-03-18,6,Friday,Viernes,Vendredi,18,77,12,March,Marzo,Mars,3,1,2005,1,3,2005,2
20050319,2005-03-19,7,Saturday,Sábado,Samedi,19,78,12,March,Marzo,Mars,3,1,2005,1,3,2005,2
20050320,2005-03-20,1,Sunday,Domingo,Dimanche,20,79,13,March,Marzo,Mars,3,1,2005,1,3,2005,2
20050321,2005-03-21,2,Monday,Lunes,Lundi,21,80,13,March,Marzo,Mars,3,1,2005,1,3,2005,2
20050322,2005-03-22,3,Tuesday,Martes,Mardi,22,81,13,March,Marzo,Mars,3,1,2005,1,3,2005,2
20050323,2005-03-23,4,Wednesday,Miércoles,Mercredi,23,82,13,March,Marzo,Mars,3,1,2005,1,3,2005,2
20050324,2005-03-24,5,Thursday,Jueves,Jeudi,24,83,13,March,Marzo,Mars,3,1,2005,1,3,2005,2
20050325,2005-03-25,6,Friday,Viernes,Vendredi,25,84,13,March,Marzo,Mars,3,1,2005,1,3,2005,2
20050326,2005-03-26,7,Saturday,Sábado,Samedi,26,85,13,March,Marzo,Mars,3,1,2005,1,3,2005,2
20050327,2005-03-27,1,Sunday,Domingo,Dimanche,27,86,14,March,Marzo,Mars,3,1,2005,1,3,2005,2
20050328,2005-03-28,2,Monday,Lunes,Lundi,28,87,14,March,Marzo,Mars,3,1,2005,1,3,2005,2
20050329,2005-03-29,3,Tuesday,Martes,Mardi,29,88,14,March,Marzo,Mars,3,1,2005,1,3,2005,2
20050330,2005-03-30,4,Wednesday,Miércoles,Mercredi,30,89,14,March,Marzo,Mars,3,1,2005,1,3,2005,2
20050331,2005-03-31,5,Thursday,Jueves,Jeudi,31,90,14,March,Marzo,Mars,3,1,2005,1,3,2005,2
20050401,2005-04-01,6,Friday,Viernes,Vendredi,1,91,14,April,Abril,Avril,4,2,2005,1,4,2005,2
20050402,2005-04-02,7,Saturday,Sábado,Samedi,2,92,14,April,Abril,Avril,4,2,2005,1,4,2005,2
20050403,2005-04-03,1,Sunday,Domingo,Dimanche,3,93,15,April,Abril,Avril,4,2,2005,1,4,2005,2
20050404,2005-04-04,2,Monday,Lunes,Lundi,4,94,15,April,Abril,Avril,4,2,2005,1,4,2005,2
20050405,2005-04-05,3,Tuesday,Martes,Mardi,5,95,15,April,Abril,Avril,4,2,2005,1,4,2005,2
20050406,2005-04-06,4,Wednesday,Miércoles,Mercredi,6,96,15,April,Abril,Avril,4,2,2005,1,4,2005,2
20050407,2005-04-07,5,Thursday,Jueves,Jeudi,7,97,15,April,Abril,Avril,4,2,2005,1,4,2005,2
20050408,2005-04-08,6,Friday,Viernes,Vendredi,8,98,15,April,Abril,Avril,4,2,2005,1,4,2005,2
20050409,2005-04-09,7,Saturday,Sábado,Samedi,9,99,15,April,Abril,Avril,4,2,2005,1,4,2005,2
20050410,2005-04-10,1,Sunday,Domingo,Dimanche,10,100,16,April,Abril,Avril,4,2,2005,1,4,2005,2
20050411,2005-04-11,2,Monday,Lunes,Lundi,11,101,16,April,Abril,Avril,4,2,2005,1,4,2005,2
20050412,2005-04-12,3,Tuesday,Martes,Mardi,12,102,16,April,Abril,Avril,4,2,2005,1,4,2005,2
20050413,2005-04-13,4,Wednesday,Miércoles,Mercredi,13,103,16,April,Abril,Avril,4,2,2005,1,4,2005,2
20050414,2005-04-14,5,Thursday,Jueves,Jeudi,14,104,16,April,Abril,Avril,4,2,2005,1,4,2005,2
20050415,2005-04-15,6,Friday,Viernes,Vendredi,15,105,16,April,Abril,Avril,4,2,2005,1,4,2005,2
20050416,2005-04-16,7,Saturday,Sábado,Samedi,16,106,16,April,Abril,Avril,4,2,2005,1,4,2005,2
20050417,2005-04-17,1,Sunday,Domingo,Dimanche,17,107,17,April,Abril,Avril,4,2,2005,1,4,2005,2
20050418,2005-04-18,2,Monday,Lunes,Lundi,18,108,17,April,Abril,Avril,4,2,2005,1,4,2005,2
20050419,2005-04-19,3,Tuesday,Martes,Mardi,19,109,17,April,Abril,Avril,4,2,2005,1,4,2005,2
20050420,2005-04-20,4,Wednesday,Miércoles,Mercredi,20,110,17,April,Abril,Avril,4,2,2005,1,4,2005,2
20050421,2005-04-21,5,Thursday,Jueves,Jeudi,21,111,17,April,Abril,Avril,4,2,2005,1,4,2005,2
20050422,2005-04-22,6,Friday,Viernes,Vendredi,22,112,17,April,Abril,Avril,4,2,2005,1,4,2005,2
20050423,2005-04-23,7,Saturday,Sábado,Samedi,23,113,17,April,Abril,Avril,4,2,2005,1,4,2005,2
20050424,2005-04-24,1,Sunday,Domingo,Dimanche,24,114,18,April,Abril,Avril,4,2,2005,1,4,2005,2
20050425,2005-04-25,2,Monday,Lunes,Lundi,25,115,18,April,Abril,Avril,4,2,2005,1,4,2005,2
20050426,2005-04-26,3,Tuesday,Martes,Mardi,26,116,18,April,Abril,Avril,4,2,2005,1,4,2005,2
20050427,2005-04-27,4,Wednesday,Miércoles,Mercredi,27,117,18,April,Abril,Avril,4,2,2005,1,4,2005,2
20050428,2005-04-28,5,Thursday,Jueves,Jeudi,28,118,18,April,Abril,Avril,4,2,2005,1,4,2005,2
20050429,2005-04-29,6,Friday,Viernes,Vendredi,29,119,18,April,Abril,Avril,4,2,2005,1,4,2005,2
20050430,2005-04-30,7,Saturday,Sábado,Samedi,30,120,18,April,Abril,Avril,4,2,2005,1,4,2005,2
20050501,2005-05-01,1,Sunday,Domingo,Dimanche,1,121,19,May,Mayo,Mai,5,2,2005,1,4,2005,2
20050502,2005-05-02,2,Monday,Lunes,Lundi,2,122,19,May,Mayo,Mai,5,2,2005,1,4,2005,2
20050503,2005-05-03,3,Tuesday,Martes,Mardi,3,123,19,May,Mayo,Mai,5,2,2005,1,4,2005,2
20050504,2005-05-04,4,Wednesday,Miércoles,Mercredi,4,124,19,May,Mayo,Mai,5,2,2005,1,4,2005,2
20050505,2005-05-05,5,Thursday,Jueves,Jeudi,5,125,19,May,Mayo,Mai,5,2,2005,1,4,2005,2
20050506,2005-05-06,6,Friday,Viernes,Vendredi,6,126,19,May,Mayo,Mai,5,2,2005,1,4,2005,2
20050507,2005-05-07,7,Saturday,Sábado,Samedi,7,127,19,May,Mayo,Mai,5,2,2005,1,4,2005,2
20050508,2005-05-08,1,Sunday,Domingo,Dimanche,8,128,20,May,Mayo,Mai,5,2,2005,1,4,2005,2
20050509,2005-05-09,2,Monday,Lunes,Lundi,9,129,20,May,Mayo,Mai,5,2,2005,1,4,2005,2
20050510,2005-05-10,3,Tuesday,Martes,Mardi,10,130,20,May,Mayo,Mai,5,2,2005,1,4,2005,2
20050511,2005-05-11,4,Wednesday,Miércoles,Mercredi,11,131,20,May,Mayo,Mai,5,2,2005,1,4,2005,2
20050512,2005-05-12,5,Thursday,Jueves,Jeudi,12,132,20,May,Mayo,Mai,5,2,2005,1,4,2005,2
20050513,2005-05-13,6,Friday,Viernes,Vendredi,13,133,20,May,Mayo,Mai,5,2,2005,1,4,2005,2
20050514,2005-05-14,7,Saturday,Sábado,Samedi,14,134,20,May,Mayo,Mai,5,2,2005,1,4,2005,2
20050515,2005-05-15,1,Sunday,Domingo,Dimanche,15,135,21,May,Mayo,Mai,5,2,2005,1,4,2005,2
20050516,2005-05-16,2,Monday,Lunes,Lundi,16,136,21,May,Mayo,Mai,5,2,2005,1,4,2005,2
20050517,2005-05-17,3,Tuesday,Martes,Mardi,17,137,21,May,Mayo,Mai,5,2,2005,1,4,2005,2
20050518,2005-05-18,4,Wednesday,Miércoles,Mercredi,18,138,21,May,Mayo,Mai,5,2,2005,1,4,2005,2
20050519,2005-05-19,5,Thursday,Jueves,Jeudi,19,139,21,May,Mayo,Mai,5,2,2005,1,4,2005,2
20050520,2005-05-20,6,Friday,Viernes,Vendredi,20,140,21,May,Mayo,Mai,5,2,2005,1,4,2005,2
20050521,2005-05-21,7,Saturday,Sábado,Samedi,21,141,21,May,Mayo,Mai,5,2,2005,1,4,2005,2
20050522,2005-05-22,1,Sunday,Domingo,Dimanche,22,142,22,May,Mayo,Mai,5,2,2005,1,4,2005,2
20050523,2005-05-23,2,Monday,Lunes,Lundi,23,143,22,May,Mayo,Mai,5,2,2005,1,4,2005,2
20050524,2005-05-24,3,Tuesday,Martes,Mardi,24,144,22,May,Mayo,Mai,5,2,2005,1,4,2005,2
20050525,2005-05-25,4,Wednesday,Miércoles,Mercredi,25,145,22,May,Mayo,Mai,5,2,2005,1,4,2005,2
20050526,2005-05-26,5,Thursday,Jueves,Jeudi,26,146,22,May,Mayo,Mai,5,2,2005,1,4,2005,2
20050527,2005-05-27,6,Friday,Viernes,Vendredi,27,147,22,May,Mayo,Mai,5,2,2005,1,4,2005,2
20050528,2005-05-28,7,Saturday,Sábado,Samedi,28,148,22,May,Mayo,Mai,5,2,2005,1,4,2005,2
20050529,2005-05-29,1,Sunday,Domingo,Dimanche,29,149,23,May,Mayo,Mai,5,2,2005,1,4,2005,2
20050530,2005-05-30,2,Monday,Lunes,Lundi,30,150,23,May,Mayo,Mai,5,2,2005,1,4,2005,2
20050531,2005-05-31,3,Tuesday,Martes,Mardi,31,151,23,May,Mayo,Mai,5,2,2005,1,4,2005,2
20050601,2005-06-01,4,Wednesday,Miércoles,Mercredi,1,152,23,June,Junio,Juin,6,2,2005,1,4,2005,2
20050602,2005-06-02,5,Thursday,Jueves,Jeudi,2,153,23,June,Junio,Juin,6,2,2005,1,4,2005,2
20050603,2005-06-03,6,Friday,Viernes,Vendredi,3,154,23,June,Junio,Juin,6,2,2005,1,4,2005,2
20050604,2005-06-04,7,Saturday,Sábado,Samedi,4,155,23,June,Junio,Juin,6,2,2005,1,4,2005,2
20050605,2005-06-05,1,Sunday,Domingo,Dimanche,5,156,24,June,Junio,Juin,6,2,2005,1,4,2005,2
20050606,2005-06-06,2,Monday,Lunes,Lundi,6,157,24,June,Junio,Juin,6,2,2005,1,4,2005,2
20050607,2005-06-07,3,Tuesday,Martes,Mardi,7,158,24,June,Junio,Juin,6,2,2005,1,4,2005,2
20050608,2005-06-08,4,Wednesday,Miércoles,Mercredi,8,159,24,June,Junio,Juin,6,2,2005,1,4,2005,2
20050609,2005-06-09,5,Thursday,Jueves,Jeudi,9,160,24,June,Junio,Juin,6,2,2005,1,4,2005,2
20050610,2005-06-10,6,Friday,Viernes,Vendredi,10,161,24,June,Junio,Juin,6,2,2005,1,4,2005,2
20050611,2005-06-11,7,Saturday,Sábado,Samedi,11,162,24,June,Junio,Juin,6,2,2005,1,4,2005,2
20050612,2005-06-12,1,Sunday,Domingo,Dimanche,12,163,25,June,Junio,Juin,6,2,2005,1,4,2005,2
20050613,2005-06-13,2,Monday,Lunes,Lundi,13,164,25,June,Junio,Juin,6,2,2005,1,4,2005,2
20050614,2005-06-14,3,Tuesday,Martes,Mardi,14,165,25,June,Junio,Juin,6,2,2005,1,4,2005,2
20050615,2005-06-15,4,Wednesday,Miércoles,Mercredi,15,166,25,June,Junio,Juin,6,2,2005,1,4,2005,2
20050616,2005-06-16,5,Thursday,Jueves,Jeudi,16,167,25,June,Junio,Juin,6,2,2005,1,4,2005,2
20050617,2005-06-17,6,Friday,Viernes,Vendredi,17,168,25,June,Junio,Juin,6,2,2005,1,4,2005,2
20050618,2005-06-18,7,Saturday,Sábado,Samedi,18,169,25,June,Junio,Juin,6,2,2005,1,4,2005,2
20050619,2005-06-19,1,Sunday,Domingo,Dimanche,19,170,26,June,Junio,Juin,6,2,2005,1,4,2005,2
20050620,2005-06-20,2,Monday,Lunes,Lundi,20,171,26,June,Junio,Juin,6,2,2005,1,4,2005,2
20050621,2005-06-21,3,Tuesday,Martes,Mardi,21,172,26,June,Junio,Juin,6,2,2005,1,4,2005,2
20050622,2005-06-22,4,Wednesday,Miércoles,Mercredi,22,173,26,June,Junio,Juin,6,2,2005,1,4,2005,2
20050623,2005-06-23,5,Thursday,Jueves,Jeudi,23,174,26,June,Junio,Juin,6,2,2005,1,4,2005,2
20050624,2005-06-24,6,Friday,Viernes,Vendredi,24,175,26,June,Junio,Juin,6,2,2005,1,4,2005,2
20050625,2005-06-25,7,Saturday,Sábado,Samedi,25,176,26,June,Junio,Juin,6,2,2005,1,4,2005,2
20050626,2005-06-26,1,Sunday,Domingo,Dimanche,26,177,27,June,Junio,Juin,6,2,2005,1,4,2005,2
20050627,2005-06-27,2,Monday,Lunes,Lundi,27,178,27,June,Junio,Juin,6,2,2005,1,4,2005,2
20050628,2005-06-28,3,Tuesday,Martes,Mardi,28,179,27,June,Junio,Juin,6,2,2005,1,4,2005,2
20050629,2005-06-29,4,Wednesday,Miércoles,Mercredi,29,180,27,June,Junio,Juin,6,2,2005,1,4,2005,2
20050630,2005-06-30,5,Thursday,Jueves,Jeudi,30,181,27,June,Junio,Juin,6,2,2005,1,4,2005,2
20050701,2005-07-01,6,Friday,Viernes,Vendredi,1,182,27,July,Julio,Juillet,7,3,2005,2,1,2006,1
20050702,2005-07-02,7,Saturday,Sábado,Samedi,2,183,27,July,Julio,Juillet,7,3,2005,2,1,2006,1
20050703,2005-07-03,1,Sunday,Domingo,Dimanche,3,184,28,July,Julio,Juillet,7,3,2005,2,1,2006,1
20050704,2005-07-04,2,Monday,Lunes,Lundi,4,185,28,July,Julio,Juillet,7,3,2005,2,1,2006,1
20050705,2005-07-05,3,Tuesday,Martes,Mardi,5,186,28,July,Julio,Juillet,7,3,2005,2,1,2006,1
20050706,2005-07-06,4,Wednesday,Miércoles,Mercredi,6,187,28,July,Julio,Juillet,7,3,2005,2,1,2006,1
20050707,2005-07-07,5,Thursday,Jueves,Jeudi,7,188,28,July,Julio,Juillet,7,3,2005,2,1,2006,1
20050708,2005-07-08,6,Friday,Viernes,Vendredi,8,189,28,July,Julio,Juillet,7,3,2005,2,1,2006,1
20050709,2005-07-09,7,Saturday,Sábado,Samedi,9,190,28,July,Julio,Juillet,7,3,2005,2,1,2006,1
20050710,2005-07-10,1,Sunday,Domingo,Dimanche,10,191,29,July,Julio,Juillet,7,3,2005,2,1,2006,1
20050711,2005-07-11,2,Monday,Lunes,Lundi,11,192,29,July,Julio,Juillet,7,3,2005,2,1,2006,1
20050712,2005-07-12,3,Tuesday,Martes,Mardi,12,193,29,July,Julio,Juillet,7,3,2005,2,1,2006,1
20050713,2005-07-13,4,Wednesday,Miércoles,Mercredi,13,194,29,July,Julio,Juillet,7,3,2005,2,1,2006,1
20050714,2005-07-14,5,Thursday,Jueves,Jeudi,14,195,29,July,Julio,Juillet,7,3,2005,2,1,2006,1
20050715,2005-07-15,6,Friday,Viernes,Vendredi,15,196,29,July,Julio,Juillet,7,3,2005,2,1,2006,1
20050716,2005-07-16,7,Saturday,Sábado,Samedi,16,197,29,July,Julio,Juillet,7,3,2005,2,1,2006,1
20050717,2005-07-17,1,Sunday,Domingo,Dimanche,17,198,30,July,Julio,Juillet,7,3,2005,2,1,2006,1
20050718,2005-07-18,2,Monday,Lunes,Lundi,18,199,30,July,Julio,Juillet,7,3,2005,2,1,2006,1
20050719,2005-07-19,3,Tuesday,Martes,Mardi,19,200,30,July,Julio,Juillet,7,3,2005,2,1,2006,1
20050720,2005-07-20,4,Wednesday,Miércoles,Mercredi,20,201,30,July,Julio,Juillet,7,3,2005,2,1,2006,1
20050721,2005-07-21,5,Thursday,Jueves,Jeudi,21,202,30,July,Julio,Juillet,7,3,2005,2,1,2006,1
20050722,2005-07-22,6,Friday,Viernes,Vendredi,22,203,30,July,Julio,Juillet,7,3,2005,2,1,2006,1
20050723,2005-07-23,7,Saturday,Sábado,Samedi,23,204,30,July,Julio,Juillet,7,3,2005,2,1,2006,1
20050724,2005-07-24,1,Sunday,Domingo,Dimanche,24,205,31,July,Julio,Juillet,7,3,2005,2,1,2006,1
20050725,2005-07-25,2,Monday,Lunes,Lundi,25,206,31,July,Julio,Juillet,7,3,2005,2,1,2006,1
20050726,2005-07-26,3,Tuesday,Martes,Mardi,26,207,31,July,Julio,Juillet,7,3,2005,2,1,2006,1
20050727,2005-07-27,4,Wednesday,Miércoles,Mercredi,27,208,31,July,Julio,Juillet,7,3,2005,2,1,2006,1
20050728,2005-07-28,5,Thursday,Jueves,Jeudi,28,209,31,July,Julio,Juillet,7,3,2005,2,1,2006,1
20050729,2005-07-29,6,Friday,Viernes,Vendredi,29,210,31,July,Julio,Juillet,7,3,2005,2,1,2006,1
20050730,2005-07-30,7,Saturday,Sábado,Samedi,30,211,31,July,Julio,Juillet,7,3,2005,2,1,2006,1
20050731,2005-07-31,1,Sunday,Domingo,Dimanche,31,212,32,July,Julio,Juillet,7,3,2005,2,1,2006,1
20050801,2005-08-01,2,Monday,Lunes,Lundi,1,213,32,August,Agosto,Août,8,3,2005,2,1,2006,1
20050802,2005-08-02,3,Tuesday,Martes,Mardi,2,214,32,August,Agosto,Août,8,3,2005,2,1,2006,1
20050803,2005-08-03,4,Wednesday,Miércoles,Mercredi,3,215,32,August,Agosto,Août,8,3,2005,2,1,2006,1
20050804,2005-08-04,5,Thursday,Jueves,Jeudi,4,216,32,August,Agosto,Août,8,3,2005,2,1,2006,1
20050805,2005-08-05,6,Friday,Viernes,Vendredi,5,217,32,August,Agosto,Août,8,3,2005,2,1,2006,1
20050806,2005-08-06,7,Saturday,Sábado,Samedi,6,218,32,August,Agosto,Août,8,3,2005,2,1,2006,1
20050807,2005-08-07,1,Sunday,Domingo,Dimanche,7,219,33,August,Agosto,Août,8,3,2005,2,1,2006,1
20050808,2005-08-08,2,Monday,Lunes,Lundi,8,220,33,August,Agosto,Août,8,3,2005,2,1,2006,1
20050809,2005-08-09,3,Tuesday,Martes,Mardi,9,221,33,August,Agosto,Août,8,3,2005,2,1,2006,1
20050810,2005-08-10,4,Wednesday,Miércoles,Mercredi,10,222,33,August,Agosto,Août,8,3,2005,2,1,2006,1
